callsign,lat,lon,website,logo
KCTV,39.07056,-94.58273,http://www.kctv5.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/41230/tv
KJRW,40.72716,-123.97369,http://www.kviq.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/42640/tv
WAGM-TV,46.55115,-67.80891,http://wagmtv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/48305/tv
KRQE,35.21115,-106.44975,http://www.krqe.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/48575/tv
WSEE-TV,42.0645,-80.00505,http://www.wsee.tv,https://publicfiles.fcc.gov/api/manager/download/entity/logo/49711/tv
KBOI-TV,43.75572,-116.09928,http://kboi2.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/49760/tv
KTVZ,44.07762,-121.33142,http://www.ktvz.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/55907/tv
KDRV,42.69151,-123.23006,http://www.kdrv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/60736/tv
KDKF,42.09709,-121.63416,http://www.kdrv.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/60740/tv
KPIC,43.23539,-123.32285,http://www.kpic.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/61551/tv
WCAU,40.04178,-75.23601,http://www.nbc10.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/63153/tv
WBKB-TV,44.70307,-83.52386,http://wbkb11.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/67048/tv
WMTV,43.05083,-89.48707,http://www.nbc15.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/6870/tv
WOGX,29.35942,-82.32816,http://www.wogx.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/70651/tv
WGNO,29.94993,-89.95785,http://www.wgno.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/72119/tv
WTVG,41.68338,-83.41354,http://www.13abc.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/74150/tv
WFNA,30.68797,-87.79832,http://www.wkrg.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/83943/tv
WFOR-TV,25.96898,-80.22199,http://miami.cbslocal.com/station/cbs4/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/47902/tv
WAWV-TV,39.24254,-87.39141,http://mywabashvalley.com/wawv,https://publicfiles.fcc.gov/api/manager/download/entity/logo/65247/tv
WXYZ-TV,42.47059,-83.25021,http://www.wxyz.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/10267/tv
WJLA-TV,38.95039,-77.07942,http://www.wjla.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/1051/tv
KOCO-TV,35.56256,-97.49032,http://www.koco.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/12508/tv
WYOU,41.18286,-75.87353,http://pahomepage.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/17010/tv
WATM-TV,40.5684,-78.44363,http://www.abc23.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/20287/tv
WDAM-TV,31.4535,-89.28478,http://www.wdam.com/,https://publicfiles.fcc.gov/api/manager/download/entity/logo/21250/tv
WJRT-TV,43.2303,-84.05886,http://www.abc12.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/21735/tv
WDAZ-TV,48.13833,-97.99343,http://www.wdaz.com,https://publicfiles.fcc.gov/api/manager/download/entity/logo/22124/tv
